	Word	PoS	FrSp		LogLike	FrWr
	somewhat	Adv	17	-	276.8	50
	Baker	NoP	2	-	276.6	22
	shape	NoC	28	-	276.5	66
	occasional	Adj	5	-	276.4	29
	Sue	NoP	38	+	276.4	13
	top	Adj	64	-	276.4	118
	collective	Adj	4	-	276.3	26
	awarded	Verb	5	-	276.3	27
	consent	NoC	9	-	276.2	35
	39	Num	0	-	276.1	14
	reaching	Verb	7	-	276.0	32
	articles	NoC	7	-	276.0	32
	domain	NoC	1	-	275.9	19
	home	Adv	265	+	275.9	185
	lands	NoC	3	-	275.8	23
	Benjamin	NoP	1	-	275.7	19
	broad	Adj	19	-	275.7	52
	rocks	NoC	7	-	275.5	32
	drama	NoC	11	-	275.1	38
	sharp	Adj	16	-	275.1	47
	1961	Num	0	-	275.1	15
	interior	NoC	2	-	275.0	20
	comfort	NoC	5	-	274.9	29
	BR	NoP	0	-	274.8	14
	comparison	NoC	9	-	274.8	36
	watched	Verb	31	-	274.5	71
	wash	Verb	40	+	274.4	14
	arrangements	NoC	25	-	274.3	62
	jurisdiction	NoC	2	-	274.3	21
	partly	Adv	24	-	273.9	61
	consequence	NoC	10	-	273.8	37
	attacked	Verb	7	-	273.8	32
	sale	NoC	46	-	273.6	93
	trials	NoC	3	-	273.5	23
	families	NoC	43	-	273.5	88
	once more	Adv	4	-	273.4	26
	feared	Verb	2	-	273.3	21
	ban	NoC	5	-	273.1	27
	sections	NoC	17	-	273.0	50
	facilities	NoC	37	-	273.0	80
	creatures	NoC	3	-	272.9	23
	attractive	Adj	21	-	272.9	55
	attracted	Verb	6	-	272.5	31
	reference	NoC	39	-	272.4	82
	late	Adj	102	-	272.3	166
	border	NoC	13	-	272.1	43
	middle-class	Adj	0	-	272.0	15
	intellectual	Adj	5	-	272.0	27
	skin	NoC	33	-	272.0	73
	through	Prep	615	-	271.8	758
	description	NoC	20	-	271.8	55
	Bryony	NoP	14	+	271.8	2
	escape	Verb	7	-	271.6	31
	glance	NoC	4	-	271.5	25
	experiments	NoC	7	-	271.4	32
	perhaps	Adv	444	+	271.3	339
	et al.	Adv	0	-	271.3	14
	resources	NoC	59	-	271.2	111
	actual	Adj	112	+	271.1	63
	means	NoC	52	-	271.1	101
	existing	Adj	51	-	271.0	99
	sure	Adv	20	+	271.0	4
	turnover	NoC	7	-	270.7	32
	vast	Adj	18	-	270.2	51
	Australia	NoP	19	-	270.0	53
	decisions	NoC	37	-	270.0	80
	in particular	Adv	31	-	269.8	71
	protest	NoC	6	-	269.8	30
	functions	NoC	21	-	269.8	55
	linked	Verb	13	-	269.8	43
	payment	NoC	22	-	269.7	58
	planned	Verb	16	-	269.7	47
	exist	Verb	23	-	269.7	58
	D	NoP	0	-	269.6	14
	far	Adv	229	-	269.5	320
	at first	Adv	14	-	269.5	45
	involvement	NoC	15	-	269.4	45
	post-war	Adj	1	-	269.2	18
	connection	NoC	10	-	269.0	38
	enterprises	NoC	2	-	269.0	19
	digital	Adj	2	-	268.9	22
	naughty	Adj	22	+	268.9	5
	highest	Adj	18	-	268.8	51
	duration	NoC	2	-	268.8	20
	T.	NoP	0	-	268.7	14
	drug	NoC	20	-	268.5	54
	infection	NoC	6	-	268.3	30
	elections	NoC	26	-	267.9	63
	guests	NoC	10	-	267.9	37
	perspective	NoC	8	-	267.7	33
	fragments	NoC	0	-	267.4	15
	imports	NoC	2	-	267.4	21
	regions	NoC	15	-	267.1	45
	1957	Num	0	-	267.0	14
	Zealand	NoP	6	-	266.7	29
	intense	Adj	4	-	266.6	26
	chicken	NoC	45	+	266.5	17
	implications	NoC	17	-	266.5	48
	1939	Num	0	-	266.4	14
	frowned	Verb	0	-	266.2	15
	memory	NoC	38	-	266.1	80
	debut	NoC	1	-	266.1	17
	experts	NoC	9	-	266.0	35
	visual	Adj	10	-	265.9	37
	each other	Pron	62	-	265.7	113
	supply	NoC	33	-	265.6	74
	crime	NoC	35	-	265.5	76
	in addition to	Prep	10	-	265.4	37
	trouble	NoC	138	+	265.3	84
	fridge	NoC	27	+	265.1	7
	shadows	NoC	1	-	265.1	17
	Russia	NoP	16	-	265.0	46
	bum	NoC	17	+	264.9	3
	wear	Verb	78	+	264.8	39
	R	NoP	0	-	264.8	13
	biscuit	NoC	20	+	264.7	4
	influential	Adj	2	-	264.5	20
	enterprise	NoC	15	-	264.3	45
	crowd	NoC	15	-	264.2	46
	£100	NoC	0	-	264.2	14
	Robyn	NoP	0	-	264.1	13
	Young	NoP	3	-	263.9	23
	impressive	Adj	8	-	263.8	32
	93	Num	0	-	263.5	14
	reflect	Verb	13	-	263.4	41
	offering	Verb	15	-	263.2	45
	rural	Adj	29	-	263.1	66
	far	Adj	111	+	263.0	63
	continuing	Adj	10	-	262.9	36
	division	NoC	48	-	262.9	95
	ideology	NoC	3	-	262.8	23
	hope	NoC	24	-	262.8	59
	tests	NoC	20	-	262.7	53
	sociology	NoC	3	-	262.4	22
	collapse	NoC	3	-	262.1	23
	versions	NoC	4	-	261.5	26
	likes	Verb	45	+	261.4	18
	possessed	Verb	1	-	261.4	18
	co-op	NoC	16	+	261.3	3
	presidential	Adj	3	-	261.3	23
	observation	NoC	7	-	261.3	31
	1947	Num	0	-	261.3	13
	children	NoC	367	-	261.2	477
	seek	Verb	23	-	261.1	58
	resigned	Verb	3	-	261.0	23
	mass	Adj	11	-	260.8	38
	warning	NoC	13	-	260.8	42
	interaction	NoC	4	-	260.7	26
	emotional	Adj	11	-	260.6	39
	unexpected	Adj	3	-	260.6	23
	biscuits	NoC	29	+	260.4	8
	host	NoC	6	-	260.4	29
	Moore	NoP	2	-	260.2	21
	Banbury	NoP	21	+	260.2	5
	given	Adj	9	-	260.2	34
	colonial	Adj	1	-	260.1	17
	succession	NoC	2	-	260.1	21
	directors	NoC	16	-	260.0	47
	back	NoC	270	+	259.9	192
	implementation	NoC	7	-	259.8	31
	impact	NoC	37	-	259.5	79
	Geoff	NoP	31	+	259.5	10
	bring	Verb	216	+	259.4	147
	named	Verb	16	-	259.4	47
	example	NoC	76	-	259.4	131
	expenditure	NoC	24	-	259.3	59
	recording	Verb	38	+	259.2	14
	restoration	NoC	3	-	259.1	21
	purchaser	NoC	2	-	259.0	20
	1948	Num	0	-	258.9	15
	painting	NoC	13	-	258.8	41
	ease	NoC	3	-	258.8	22
	Joseph	NoP	8	-	258.6	32
	notable	Adj	1	-	258.6	18
	ie	Adv	1	-	258.5	16
	encountered	Verb	2	-	258.5	19
	Iran	NoP	3	-	258.4	22
	judge	NoC	17	-	258.2	48
	agreed	Verb	85	-	258.1	142
	choice	NoC	72	-	258.1	126
	exports	NoC	2	-	258.1	21
	fig*	NoC	1	-	258.1	18
	particularly	Adv	153	-	258.1	228
	Owen	NoP	4	-	257.9	24
	48	Num	1	-	257.9	16
	and so forth	Adv	19	+	257.8	4
	load	NoC	52	+	257.7	23
	player	NoC	25	-	257.6	60
	prices	NoC	57	-	257.6	106
	surrounded	Verb	5	-	257.3	27
	technical	Adj	33	-	257.2	72
	arise	Verb	10	-	257.1	36
	loan	NoC	13	-	257.1	41
	prospect	NoC	9	-	256.8	34
	retained	Verb	5	-	256.8	26
	extent	NoC	57	-	256.6	105
	accounts	NoC	30	-	256.5	69
	promised	Verb	14	-	256.5	42
	directed	Verb	10	-	256.4	37
	multiply	Verb	19	+	256.4	4
	55	Num	0	-	256.4	14
	EEC	NoP	0	-	256.2	13
	economics	NoC	7	-	256.2	31
	funds	NoC	29	-	256.2	66
	duties	NoC	13	-	256.1	41
	off of	Prep	12	+	256.0	1
	mass	NoC	11	-	255.8	39
	acted	Verb	4	-	255.6	25
	qualities	NoC	5	-	255.6	27
	interesting	Adj	146	+	255.4	91
	Canada	NoP	8	-	255.4	32
	shame	NoC	42	+	255.3	16
	undertaken	Verb	6	-	255.2	30
	disgusting	Adj	24	+	255.1	6
	participation	NoC	6	-	254.7	29
	occupied	Verb	6	-	254.7	28
	hospital	NoC	97	-	254.3	157
	hesitated	Verb	1	-	254.2	16
	opponents	NoC	1	-	254.2	18
	75	Num	2	-	253.7	18
	ft	NoC	0	-	253.6	13
	violence	NoC	25	-	253.5	60
	outcome	NoC	12	-	253.5	40
	Alexander	NoP	6	-	253.4	28
	Lords	NoP	3	-	253.3	22
	Charlotte	NoP	37	+	253.3	13
	cited	Verb	1	-	252.9	16
	diplomatic	Adj	3	-	252.4	22
	flow	NoC	17	-	252.4	48
	humans	NoC	3	-	252.2	22
	pleasure	NoC	22	-	252.1	56
	prey	NoC	1	-	252.0	17
	Gabriel	NoP	0	-	251.9	15
	resulting	Verb	2	-	251.9	20
	lives	NoC	41	-	251.9	83
	charges	NoC	27	-	251.7	63
	loans	NoC	7	-	251.7	30
	ugh	Int	11	+	251.6	1
	F.	NoP	0	-	251.6	13
	soldiers	NoC	11	-	251.6	38
	caught	Verb	47	-	251.5	91
	participants	NoC	4	-	251.5	24
	exposed	Verb	3	-	251.2	22
	and so on	Adv	84	+	251.0	45
	satisfaction	NoC	7	-	251.0	31
	sample	NoC	17	-	251.0	47
	profession	NoC	9	-	250.7	33
	involved	Verb	60	-	250.6	109
	China	NoP	18	-	250.5	49
	constitute	Verb	1	-	250.3	18
	smiling	Verb	4	-	250.3	24
	bay	NoC	10	-	250.3	37
	arranged	Verb	14	-	250.2	43
	stars	NoC	14	-	250.2	42
	full	Adj	206	-	250.2	290
	secondary	Adj	16	-	250.1	47
	effectiveness	NoC	3	-	250.0	23
	audience	NoC	24	-	249.8	58
	manufacturers	NoC	7	-	249.7	30
	love	Verb	132	+	249.5	81
	connections	NoC	4	-	249.5	23
	Eliot	NoP	3	-	249.4	21
	corporation	NoC	11	-	249.4	37
	nations	NoC	15	-	249.4	44
	pressure	NoC	72	-	249.3	125
	uncertain	Adj	3	-	249.2	22
	receive	Verb	38	-	249.0	79
	useful	Adj	58	-	248.9	106
	unity	NoC	7	-	248.8	31
	variables	NoC	4	-	248.6	24
	when	Adv	530	+	248.6	420
	excitement	NoC	6	-	248.6	29
	permanent	Adj	18	-	248.4	48
	specialist	NoC	12	-	248.0	40
	struggle	NoC	13	-	247.8	40
	1950	Num	0	-	247.7	14
	Roberts	NoP	1	-	247.5	17
	Robert	NoP	41	-	247.5	84
	manufacturing	NoC	15	-	247.4	45
	discover	Verb	10	-	247.4	35
	Israel	NoP	10	-	247.3	35
	defendant	NoC	10	-	247.2	36
	elsewhere	Adv	25	-	247.2	60
	stock	NoC	39	-	247.1	80
	eye	NoC	53	-	247.1	100
	1958	Num	0	-	247.0	13
	passion	NoC	5	-	246.9	25
	blokes	NoC	14	+	246.9	2
	confined	Verb	4	-	246.8	24
	Le	NoP-	1	-	246.8	17
	Francis	NoP	6	-	246.7	27
	Durham	NoP	5	-	246.4	27
	anyhow	Adv	17	+	246.3	3
	venture	NoC	3	-	246.3	21
	reveals	Verb	1	-	246.2	17
	specified	Verb	3	-	246.1	23
	publications	NoC	3	-	246.0	22
	possibility	NoC	36	-	245.9	75
	shoulder	NoC	18	-	245.9	49
	categories	NoC	10	-	245.9	36
	acceptance	NoC	6	-	245.7	29
	~ta*	Inf	24	+	245.3	6
	intention	NoC	19	-	245.3	51
	wider	Adj	20	-	245.2	52
	composed	Verb	3	-	244.9	22
	aside	Adv	12	-	244.9	39
	length	NoC	36	-	244.7	76
	elegant	Adj	2	-	244.5	20
	rise	Verb	11	-	244.4	37
	measure	NoC	19	-	244.3	50
	Atlantic	NoP	4	-	244.3	24
	so-called	Adj	7	-	244.3	29
	controlled	Verb	12	-	244.2	39
	parallel	Adj	2	-	244.1	20
	remove	Verb	14	-	244.1	42
	household	NoC	14	-	244.1	42
	plans	Verb	3	-	243.8	22
	resulting	Adj	1	-	243.8	15
	Gray	NoP	0	-	243.5	12
	attended	Verb	11	-	243.4	38
	innovation	NoC	2	-	243.4	19
	silently	Adv	0	-	243.3	13
	ruled	Verb	5	-	243.1	26
	1920s	Num	0	-	243.1	12
	classification	NoC	2	-	243.1	18
	attacks	NoC	9	-	243.0	34
	various	Adj	101	-	242.9	161
	customs	NoC	4	-	242.9	25
	partners	NoC	14	-	242.8	42
	master	NoC	29	-	242.8	65
	district	NoC	118	+	242.8	70
	request	NoC	13	-	242.8	41
	caravan	NoC	27	+	242.8	8
	Marshall	NoP	1	-	242.7	17
	intensity	NoC	2	-	242.5	18
	1956	Num	0	-	242.4	12
	near	Prep	88	-	242.4	144
	43	Num	0	-	242.4	14
	conviction	NoC	3	-	242.2	22
	signs	NoC	19	-	242.2	51
	opening	NoC	21	-	242.1	54
	inspired	Verb	2	-	242.0	18
	Walsall	NoP	13	+	242.0	2
	card	NoC	95	+	241.8	53
	sequences	NoC	1	-	241.8	16
	magnificent	Adj	3	-	241.7	22
	ml	NoC	0	-	241.5	12
	roles	NoC	7	-	241.5	30
	existed	Verb	6	-	241.5	28
	core	NoC	11	-	241.3	37
	conservation	NoC	6	-	241.3	28
	charge	NoC	50	-	241.2	94
	friendship	NoC	3	-	241.2	22
	requirements	NoC	28	-	241.1	64
	Newark	NoP	12	+	241.1	2
	Wright	NoP	3	-	241.0	22
	pylori	NoC	0	-	240.9	12
	fails	Verb	3	-	240.9	20
	mentioned	Verb	111	+	240.2	65
	earth	NoC	55	-	239.9	102
	fate	NoC	4	-	239.8	24
	clergy	NoC	1	-	239.7	15
	successive	Adj	3	-	239.6	21
	Claudia	NoP	0	-	239.4	12
	creating	Verb	12	-	239.3	38
	as for	Prep	6	-	239.3	28
	stable	Adj	9	-	239.0	33
	wildlife	NoC	3	-	238.9	22
	mutual	Adj	5	-	238.8	25
	boring	Adj	37	+	238.6	14
	1940	Num	0	-	238.6	13
	rather than	Conj	19	-	238.5	50
	round	Adj	7	-	238.4	30
	star	NoC	29	-	238.3	65
	overseas	Adj	7	-	238.2	29
	canal	NoC	4	-	238.2	24
	moments	NoC	10	-	238.2	35
	bile	NoC	0	-	238.2	13
	1959	Num	0	-	238.2	13
	all of a sudden	Adv	16	+	238.0	3
	broadcasting	NoC	2	-	237.9	18
	happened	Verb	195	+	237.6	132
	Commons	NoP	10	-	237.5	35
	thin	Adj	22	-	237.4	54
	enthusiasm	NoC	8	-	237.2	32
	44	Num	0	-	237.0	14
	zone	NoC	6	-	236.9	28
	laid	Verb	27	-	236.8	62
	IMF	NoP	0	-	236.7	12
	port	NoC	9	-	236.7	32
	device	NoC	8	-	236.5	31
	interpreted	Verb	4	-	236.4	23
	bonds	NoC	3	-	236.1	21
	swept	Verb	4	-	235.9	23
	rivals	NoC	1	-	235.8	16
	lexical	Adj	0	-	235.6	12
	programme	NoC	131	-	235.5	197
	room	NoC	233	-	235.5	318
	lightly	Adv	3	-	235.5	21
	chocolate	NoC	44	+	235.3	18
	origins	NoC	3	-	235.3	20
	firm	Adj	11	-	235.2	37
	seized	Verb	2	-	235.2	19
	mountain	NoC	14	-	235.1	42
	survived	Verb	7	-	235.1	29
	successor	NoC	1	-	235.1	16
	destroyed	Verb	10	-	235.0	34
	collections	NoC	3	-	234.9	20
	abruptly	Adv	0	-	234.9	14
	less than	Adv	15	-	234.8	43
	settled	Verb	14	-	234.8	42
	HP	NoP	0	-	234.8	12
	daughter	NoC	54	-	234.4	99
	open	Adj	155	-	234.3	226
	enable	Verb	20	-	234.3	51
	attempting	Verb	6	-	234.3	26
	princess	NoC	8	-	234.2	32
	20%	NoC	0	-	234.1	12
	error	NoC	14	-	233.9	41
	Isabel	NoP	1	-	233.8	14
	fears	NoC	8	-	233.8	31
	spectacular	Adj	3	-	233.8	21
	valuable	Adj	14	-	233.3	42
	emerge	Verb	4	-	233.2	23
	projects	NoC	25	-	233.2	59
	preferred	Verb	4	-	233.1	23
	£10	NoC	0	-	233.1	12
	related	Verb	26	-	233.1	60
	pop	Verb	27	+	233.0	8
	net	Adj	16	-	232.9	44
	vary	Verb	9	-	232.7	33
	providing	Verb	35	-	232.7	73
	relation	NoC	8	-	232.7	30
	influenced	Verb	6	-	232.6	28
	lads	NoC	35	+	232.4	13
	Nicholas	NoP	6	-	232.4	27
	01	Num	0	-	232.3	12
	known	Adj	3	-	232.3	22
	distinguished	Verb	0	-	232.1	13
	units	NoC	36	-	231.8	74
	serve	Verb	24	-	231.8	57
	Tel	NoC	0	-	231.7	13
	expansion	NoC	12	-	231.6	39
	birds	NoC	26	-	231.6	60
	garage	NoC	43	+	231.6	18
	agriculture	NoC	14	-	231.5	42
	offences	NoC	5	-	231.5	26
	10,000	Num	0	-	231.4	13
	fleet	NoC	3	-	231.3	21
	youth	NoC	24	-	231.2	58
	romantic	Adj	4	-	231.2	22
	responses	NoC	7	-	231.2	29
	sensitive	Adj	13	-	231.1	39
	hills	NoC	9	-	231.0	33
	chinese	Adj	15	-	231.0	43
	fans	NoC	11	-	230.9	36
	brought	Verb	143	-	230.8	211
	extreme	Adj	11	-	230.8	35
	Gen.	NoC	0	-	230.6	12
	sensation	NoC	1	-	230.6	16
	enough	DetP	125	+	230.5	77
	1914	Num	0	-	230.4	13
	Pakistan	NoP	3	-	230.4	20
	stream	NoC	6	-	230.2	27
	I.	NoP	0	-	230.2	12
	lad	NoC	42	+	229.9	17
	passengers	NoC	6	-	229.7	28
	professor	NoC	23	-	229.7	55
	simultaneously	Adv	3	-	229.6	20
	item	NoC	68	+	229.6	34
	Philip	NoP	15	-	229.4	42
	am	Adv	0	-	229.3	12
	begins	Verb	11	-	229.3	35
	summer	NoC	69	-	229.1	118
	key	Adj	40	-	229.1	80
	concentrated	Verb	5	-	229.0	26
	complexity	NoC	2	-	229.0	19
	1944	Num	0	-	229.0	12
	explanations	NoC	2	-	228.8	18
	transformation	NoC	2	-	228.8	19
	basis	NoC	94	-	228.8	150
	half	NoC	113	+	228.8	67
	seeking	Verb	19	-	228.5	49
	setting	NoC	9	-	228.5	33
	transformed	Verb	2	-	228.5	17
	searching	Verb	3	-	228.4	21
	achievement	NoC	10	-	228.3	34
	era	NoC	4	-	228.3	23
	faces	NoC	11	-	228.1	35
	companion	NoC	2	-	228.1	18
	sufficiently	Adv	6	-	228.0	28
	mortality	NoC	5	-	227.9	25
	situated	Verb	3	-	227.8	21
	hearing	NoC	9	-	227.7	32
	lawyers	NoC	6	-	227.6	26
	refusal	NoC	3	-	227.6	21
	naturally	Adv	17	-	227.4	46
	coup	NoC	2	-	227.4	18
	restored	Verb	3	-	227.3	20
	stressed	Verb	5	-	227.3	24
	47	Num	0	-	227.2	13
	departments	NoC	17	-	227.1	45
	admission	NoC	5	-	227.1	25
	suspected	Verb	2	-	227.1	18
	bright	Adj	25	-	227.0	58
	shot	Verb	21	-	226.9	53
	1936	Num	0	-	226.7	12
	played	Verb	68	-	226.6	117
	Skelton	NoP	12	+	226.6	2
	established	Adj	4	-	226.3	22
	ethnic	Adj	5	-	226.2	25
	mountains	NoC	8	-	226.2	31
	application	NoC	59	-	226.0	105
	1953	Num	0	-	226.0	12
	V / v	Num	0	-	226.0	12
	Poland	NoP	4	-	225.9	23
	secure	Verb	8	-	225.8	30
	1949	Num	0	-	225.8	11
	Marx	NoP	3	-	225.8	21
	legislative	Adj	3	-	225.7	21
	41	Num	0	-	225.6	13
	Anderson	NoP	1	-	225.5	16
	emissions	NoC	1	-	225.4	16
	thoughts	NoC	20	-	225.3	50
	trust	NoC	39	-	225.2	78
	permitted	Verb	4	-	225.1	22
	place	NoC	353	-	225.0	453
	teaching	NoC	27	-	224.9	60
	Miller	NoP	4	-	224.9	22
	south-east	NoC	1	-	224.9	14
	approved	Verb	15	-	224.8	42
	prominent	Adj	5	-	224.8	25
	well-known	Adj	2	-	224.7	17
	transmission	NoC	1	-	224.5	16
	shouted	Verb	9	-	224.5	32
	elected	Verb	19	-	224.5	48
	nineteenth-century	Adj	0	-	224.5	11
	cathedral	NoC	6	-	224.4	26
	hitherto	Adv	2	-	224.4	17
	Hollywood	NoP	2	-	224.4	18
	Diana	NoP	5	-	224.3	25
	captured	Verb	3	-	224.3	19
	assault	NoC	5	-	224.2	24
	producer	NoC	3	-	224.2	20
	remedy	NoC	1	-	224.1	15
	ANC	NoP	0	-	224.0	11
	consisting	Verb	1	-	223.8	14
	snapped	Verb	3	-	223.6	21
	vol.	NoC	0	-	223.6	11
	honour	NoC	5	-	223.5	24
	commented	Verb	4	-	223.4	22
	P	NoP	0	-	223.4	11
	flesh	NoC	7	-	223.3	28
	50%	NoC	0	-	223.3	12
	appealed	Verb	1	-	223.3	15
	tenant	NoC	7	-	223.3	28
	damages	NoC	5	-	223.2	24
	integration	NoC	6	-	223.1	26
	imprisonment	NoC	1	-	223.0	16
	liberal*	Adj	25	-	222.9	57
	supplies	NoC	6	-	222.8	27
	genuine	Adj	11	-	222.8	36
	19th	Ord	1	-	222.7	14
	scope	NoC	12	-	222.7	37
	1st	Ord	1	-	222.6	14
	destruction	NoC	6	-	222.5	26
	Iraq	NoP	10	-	222.5	34
	members	NoC	224	-	222.4	305
	organic	Adj	4	-	222.2	23
	punishment	NoC	5	-	222.2	25
	breeding	NoC	3	-	222.1	21
	odd	Adj	77	+	222.1	41
	rung	Verb	17	+	222.1	4
	installed	Verb	4	-	222.0	22
	inadequate	Adj	5	-	221.7	25
	separation	NoC	3	-	221.5	20
	composition	NoC	5	-	221.4	25
	informal	Adj	6	-	221.2	26
	stability	NoC	5	-	221.2	23
	fives	Num	10	+	221.2	1
	fought	Verb	9	-	221.1	32
	2,000	Num	1	-	221.0	14
	poor	Adj	100	-	220.9	157
	600	Num	0	-	220.9	12
	cheeks	NoC	2	-	220.9	18
	pushed	Verb	23	-	220.9	54
	statistical	Adj	4	-	220.8	23
	acknowledged	Verb	3	-	220.5	21
	space	NoC	79	-	220.2	130
	arts	NoC	24	-	220.1	57
	colitis	NoC	0	-	219.9	11
	selected	Verb	8	-	219.8	31
	opportunities	NoC	28	-	219.7	62
	limitations	NoC	3	-	219.7	20
	kissed	Verb	3	-	219.7	20
	120	Num	0	-	219.6	11
	engineering	NoC	23	-	219.6	54
	sell	Verb	117	+	219.5	72
	sounds	NoC	7	-	219.5	28
	S	NoP	0	-	219.4	11
	no one*	Pron	45	-	219.3	85
	gain	Verb	14	-	219.3	40
	employment	NoC	65	-	219.3	112
	insects	NoC	1	-	219.2	15
	goals	NoC	20	-	219.2	50
	silver	NoC	15	-	219.1	41
	Netherlands	NoP	1	-	219.0	16
	christianity	NoC	3	-	218.9	19
	exclusive	Adj	4	-	218.9	23
	reaction	NoC	26	-	218.9	59
	responded	Verb	5	-	218.8	24
	beauty	NoC	17	-	218.8	45
	futures	NoC	1	-	218.7	16
	acquire	Verb	4	-	218.7	22
	causal	Adj	0	-	218.6	13
	contributed	Verb	5	-	218.5	25
	accordingly	Adv	5	-	218.5	25
	declaration	NoC	4	-	218.4	22
	deep	Adv	7	-	218.3	29
	visitor	NoC	5	-	218.3	24
	in part	Adv	4	-	218.2	23
	recovered	Verb	5	-	218.1	23
	pain	NoC	39	-	217.7	77
	sole	Adj	5	-	217.6	24
	injuries	NoC	7	-	217.6	28
	completion	NoC	6	-	217.5	27
	merchant	NoC	3	-	217.5	20
	senate	NoC	1	-	217.3	14
	Intel	NoP	0	-	217.3	13
	precise	Adj	9	-	217.2	31
	oral	Adj	5	-	217.2	23
	agencies	NoC	13	-	217.1	39
	sign	NoC	29	-	217.0	62
	stone	NoC	44	-	217.0	84
	calculated	Verb	6	-	216.9	26
	danger	NoC	30	-	216.8	64
	classes	NoC	30	-	216.8	64
	slid	Verb	2	-	216.6	17
	light	Adj	31	-	216.6	66
	tracks	NoC	4	-	216.5	21
	nah	Int	11	+	216.5	1
	Ms	NoC	2	-	216.3	18
	opinion	NoC	41	-	216.2	79
	organisations	NoC	23	-	216.2	54
	assembly	NoC	25	-	216.1	57
	wholly	Adv	5	-	216.0	24
	better	Adv	197	+	215.9	137
	secured	Verb	3	-	215.9	20
	primitive	Adj	2	-	215.9	18
	steadily	Adv	2	-	215.9	18
	Wilson	NoP	16	-	215.9	42
	opponent	NoC	1	-	215.8	16
	chronic	Adj	3	-	215.8	19
	withdrawal	NoC	4	-	215.7	22
	Lea	NoP	0	-	215.7	11
	walked	Verb	55	-	215.6	99
	politicians	NoC	11	-	215.6	36
	indicate	Verb	17	-	215.5	44
	mucosa	NoC	0	-	215.5	12
	capitalism	NoC	4	-	215.5	21
	establishing	Verb	4	-	215.4	22
	expectations	NoC	11	-	215.3	35
	disappeared	Verb	11	-	215.3	35
	1951	Num	0	-	215.3	12
	continued	Adj	5	-	215.3	23
	observers	NoC	1	-	215.3	16
	sat	Verb	76	-	215.0	126
	typical	Adj	22	-	215.0	52
	transactions	NoC	5	-	215.0	23
	routine	NoC	9	-	215.0	31
	gazed	Verb	0	-	215.0	13
	constant	Adj	21	-	214.9	51
	built	Verb	83	-	214.9	134
	press	NoC	61	-	214.9	106
	Evans	NoP	3	-	214.8	20
	purchase	NoC	10	-	214.8	33
	whether	Conj	413	+	214.7	322
	charged	Verb	20	-	214.7	50
	straight	Adv	95	+	214.6	55
	suspended	Verb	3	-	214.4	20
	surfaces	NoC	1	-	214.4	15
	peak	NoC	8	-	214.4	30
	gesture	NoC	4	-	214.3	22
	calculator	NoC	14	+	214.3	2
	supporters	NoC	14	-	214.1	39
	devoted	Verb	1	-	214.0	14
	renaissance	NoC	0	-	213.9	13
	identical	Adj	5	-	213.9	24
	cheers	Int	15	+	213.9	3
	vice-president	NoC	0	-	213.8	12
	assumption	NoC	10	-	213.7	33
	corps	NoC	0	-	213.7	13
	magnetic	Adj	2	-	213.6	17
	1954	Num	0	-	213.3	11
	superior	Adj	4	-	213.2	22
	prevented	Verb	3	-	213.0	20
	comma	NoC	10	+	213.0	1
	hurried	Verb	1	-	212.9	13
	hung	Verb	9	-	212.9	32
	parents	NoC	111	-	212.8	169
	type	NoC	117	-	212.8	176
	increase	NoC	57	-	212.7	100
	libraries	NoC	5	-	212.6	23
	hostility	NoC	1	-	212.4	15
	pull	Verb	70	+	212.3	37
	paper	NoC	232	+	212.2	166
	below	Prep	26	-	212.2	58
	Emailinc	NoC	0	-	212.2	11
	fled	Verb	1	-	212.2	15
	indicates	Verb	6	-	212.2	25
	scholars	NoC	0	-	211.8	13
	so as	ClO	3	-	211.7	19
	talent	NoC	5	-	211.6	23
	finest	Adj	3	-	211.6	19
	gains	NoC	5	-	211.5	23
	Blanche	NoP	0	-	211.4	13
	250	Num	0	-	211.4	13
	1000	Num	0	-	211.3	11
	mounted	Verb	3	-	211.3	18
	heads	NoC	24	-	211.3	55
	fashion	NoC	19	-	211.2	48
	adequate	Adj	13	-	210.8	38
	match	NoC	36	-	210.8	72
	Hewlett-Packard	NoP	0	-	210.7	11
	novel	NoC	10	-	210.7	33
	detected	Verb	2	-	210.7	17
	already	Adv	267	-	210.6	352
	systematic	Adj	3	-	210.5	19
	restricted	Verb	5	-	210.5	23
	equipped	Verb	2	-	210.5	18
	sentences	NoC	9	-	210.4	31
	1990s	Num	0	-	210.1	11
	conclusion	NoC	23	-	210.1	54
	reliable	Adj	5	-	210.0	24
	Glasgow	NoP	17	-	210.0	45
	childhood	NoC	9	-	209.8	31
	100,000	Num	0	-	209.8	11
	provincial	Adj	2	-	209.8	18
	advisers	NoC	3	-	209.7	19
	along	Prep	79	-	209.6	129
	arrest	NoC	2	-	209.6	18
	jumper	NoC	17	+	209.6	4
	ownership	NoC	11	-	209.5	34
	James	NoP	62	-	209.5	107
	step	NoC	39	-	209.5	76
	assumptions	NoC	7	-	209.2	27
	improvement	NoC	17	-	209.0	45
	exclaimed	Verb	0	-	208.9	11
	WHO	NoP	0	-	208.9	12
	discrimination	NoC	4	-	208.7	22
	Street	NoC	137	-	208.5	200
	Chancellor	NoC	14	-	208.4	39
	weird	Adj	27	+	208.4	9
	£1,000	NoC	0	-	208.4	11
	remote	Adj	9	-	208.3	31
