	Word	PoS	FrSp		LogLike	FrWr
	followed	Verb	28	-	1658.2	163
	doo	Uncl	40	+	1654.7	0
	1986	Num	1	-	1652.2	88
	county	NoC	258	+	1648.7	96
	comes	Verb	328	+	1637.1	140
	hm	Int	41	+	1626.3	1
	call	Verb	290	+	1624.5	117
	power	NoC	130	-	1621.7	340
	without	Prep	227	-	1611.1	483
	a little bit	Adv	54	+	1610.6	3
	nought	Pron	44	+	1605.2	1
	reckon	Verb	90	+	1601.0	13
	14	Num	1	-	1597.1	89
	possible	Adj	147	-	1595.4	364
	16	Num	2	-	1594.5	90
	18	Num	2	-	1592.1	90
	chapter	NoC	30	-	1589.3	163
	continued	Verb	10	-	1587.9	117
	reached	Verb	18	-	1584.7	136
	felt	Verb	106	-	1567.3	298
	systems	NoC	43	-	1558.4	188
	added	Verb	26	-	1557.6	152
	R / r	Lett	154	+	1556.0	41
	9	Num	2	-	1550.5	89
	than	Conj	683	-	1547.3	1074
	recent	Adj	36	-	1540.6	173
	available	Adj	104	-	1531.5	291
	1985	Num	1	-	1530.8	82
	25	Num	2	-	1527.8	86
	small	Adj	216	-	1525.0	460
	upon	Prep	80	-	1521.1	252
	etcetera	Adv	42	+	1520.5	1
	control	NoC	83	-	1520.1	256
	voice	NoC	48	-	1520.1	194
	sit	Verb	209	+	1518.8	72
	often	Adv	175	-	1517.6	399
	13	Num	1	-	1516.3	84
	pence	NoC	68	+	1515.3	7
	human	Adj	51	-	1515.0	199
	that	Adv	150	+	1506.6	40
	tape	NoC	139	+	1502.5	35
	data	NoC	51	-	1494.2	197
	everything	Pron	359	+	1493.2	167
	required	Verb	30	-	1489.3	157
	art	NoC	35	-	1487.6	166
	bloke	NoC	67	+	1484.5	7
	voice	Verb	1	-	1482.2	82
	according to	Prep	37	-	1478.9	171
	nil	Pron	53	+	1475.5	3
	chairman	NoP	36	+	1474.2	0
	range	NoC	59	-	1471.7	211
	development	NoC	142	-	1471.4	345
	D / d	Lett	183	+	1469.6	59
	EC	NoP	0	-	1468.8	75
	tonight	Adv	178	+	1466.4	56
	before	Prep	220	-	1465.3	459
	de*	NoP	13	-	1461.0	117
	include	Verb	35	-	1453.6	165
	no	NoC	0	-	1452.4	74
	early	Adj	103	-	1442.5	283
	analysis	NoC	26	-	1437.9	145
	shh	Int	34	+	1435.3	0
	returned	Verb	12	-	1434.7	114
	announced	Verb	13	-	1430.9	116
	K / k	Lett	94	+	1413.3	17
	bits	NoC	112	+	1406.9	25
	remained	Verb	8	-	1406.2	101
	head	NoC	164	-	1401.9	372
	relations	NoC	17	-	1396.2	123
	F / f	Lett	121	+	1390.1	29
	hang	Verb	106	+	1384.0	22
	smiled	Verb	3	-	1383.3	84
	again	Adv	836	+	1381.6	529
	buy	Verb	261	+	1380.0	108
	society	NoC	89	-	1379.3	256
	to	Inf	14912	-	1371.7	16442
	whom	Pron	26	-	1368.5	141
	expected	Verb	35	-	1366.9	159
la	Uncl	43	+	1362.7	2
	thanks	NoC	162	+	1361.9	50
	Friday	NoP	150	+	1357.8	44
	looks	Verb	226	+	1353.8	87
	B / b	Lett	337	+	1353.4	159
	following	Adj	29	-	1348.7	146
	talk	Verb	266	+	1339.7	113
	100	Num	2	-	1338.9	77
	king	NoC	37	-	1338.8	160
	towards	Prep	123	-	1331.3	305
	appeared	Verb	16	-	1328.4	117
	50	Num	1	-	1328.4	75
	series	NoC	35	-	1323.1	156
	round	Prep	245	+	1320.3	100
	be	Verb	5790	-	1319.9	6742
	process	NoC	78	-	1317.3	231
	military	Adj	17	-	1317.2	119
	past	Prep	168	+	1315.9	55
	knowledge	NoC	37	-	1314.3	158
	known	Verb	93	-	1313.8	255
	Dr	NoC	19	-	1305.9	122
	wee	Adj	59	+	1303.5	6
	high	Adj	185	-	1298.3	392
	somewhere	Adv	173	+	1294.8	58
	TV	NoC	1	-	1291.9	73
	royal	Adj	38	-	1291.4	160
	Soviet	Adj	18	-	1291.0	119
	shown	Verb	40	-	1283.5	163
	fig.	NoC	0	-	1282.0	65
	effect	NoC	87	-	1282.0	244
	above	Adv	12	-	1280.7	103
	species	NoC	13	-	1277.2	106
	latter	DetP	5	-	1272.3	86
	turned	Verb	100	-	1269.4	263
	as well as	Prep	55	-	1268.0	190
	17	Num	1	-	1263.3	70
	bad	Adj	296	+	1262.0	136
	Inc	Adj	0	-	1257.4	64
	24	Num	2	-	1253.3	72
	d'	Verb	70	+	1249.3	10
	Greater	NoP-	62	+	1249.2	8
	squared	Verb	40	+	1248.0	2
	nor	Conj	27	-	1247.6	136
	reported	Verb	22	-	1241.1	124
	hey	Int	73	+	1238.6	11
	on	Prep	5659	-	1235.5	6569
	others	NoC	126	-	1235.2	301
	family	NoC	171	-	1226.6	365
	even	Adv	457	-	1226.0	746
	follows	Verb	16	-	1223.3	110
	European	Adj	69	-	1218.3	210
	evidence	NoC	82	-	1218.2	230
	body	NoC	109	-	1217.2	272
	pp.	NoC	0	-	1211.7	62
	provide	Verb	88	-	1205.1	239
	own	DetP	443	-	1198.6	724
	likely	Adj	91	-	1197.8	243
	granddad	NoC	28	+	1196.7	0
	lots	Pron	126	+	1190.1	36
	Europe	NoP	62	-	1188.4	195
	v.	Prep	0	-	1185.8	60
	wants	Verb	197	+	1185.7	76
	loads	NoC	64	+	1179.6	9
	history	NoC	70	-	1176.2	207
	Charles	NoP	13	-	1173.6	100
	action	NoC	88	-	1170.0	236
	seventeen	Num	72	+	1165.9	12
	within	Prep	253	-	1165.1	472
	ee	Int	36	+	1164.9	1
	1981	Num	1	-	1159.1	63
	H / h	Lett	123	+	1157.7	35
	results	NoC	43	-	1157.2	159
	information	NoC	206	-	1155.0	407
	1993	Num	1	-	1154.3	63
	nature	NoC	63	-	1150.8	195
	education	NoC	115	-	1148.6	277
	central	Adj	71	-	1148.2	207
	at	Prep	4115	-	1147.6	4868
	market	NoC	135	-	1147.1	305
	minus	NoC	38	+	1143.2	2
	included	Verb	30	-	1140.3	133
	and	Conj	25210	-	1134.5	27002
	21	Num	1	-	1128.1	63
	19	Num	0	-	1127.1	59
	Christmas	NoC	194	+	1125.5	76
	for	Conj	40	-	1120.3	151
	look	NoC	227	+	1120.2	97
	stood	Verb	36	-	1119.7	144
	countries	NoC	57	-	1115.4	180
	wonder	Verb	124	+	1111.8	37
	March	NoP	43	-	1109.8	157
	theory	NoC	35	-	1108.9	142
	April	NoP	44	-	1108.2	159
	1983	Num	1	-	1107.3	64
	case	NoC	243	-	1106.7	453
	role	NoC	66	-	1105.9	196
	production	NoC	50	-	1105.7	168
	forces	NoC	26	-	1102.6	124
	1984	Num	2	-	1101.0	65
	1979	Num	1	-	1096.4	61
	40	Num	2	-	1087.9	63
	industry	NoC	77	-	1087.6	212
	treatment	NoC	31	-	1086.2	133
	software	NoC	17	-	1085.1	103
	Ltd	Adj	0	-	1084.7	57
	major	Adj	104	-	1082.3	254
	kids	NoC	119	+	1081.4	35
	common	Adj	67	-	1075.8	196
