	Word	PoS	FrIm		LL		FrIn

	fund	Verb	1	-	236.5	11
	Bob	NoP	62	+	236.5	35
	countryside	NoC	21	-	236.5	45
	liquor	NoC	13	+	236.3	3
	Edwards	NoP	4	-	236.2	17
	youngsters	NoC	6	-	236.1	20
	engineer	NoC	9	-	236.1	27
	assurance	NoC	6	-	236.1	22
	two-thirds	Num	3	-	236.0	15
	fundamentally	Adv	1	-	236.0	11
	adequately	Adv	3	-	236.0	15
	dating	Verb	2	-	235.8	12
	composer	NoC	2	-	235.8	13
	identical	Adj	10	-	235.7	27
	1918	Num	1	-	235.7	11
	forth	Adv	27	+	235.5	11
	singles	NoC	1	-	235.5	11
	estimate	Verb	2	-	235.5	12
	Nigeria	NoP	1	-	235.4	10
	charities	NoC	1	-	235.4	12
	chartered	Adj	1	-	235.3	11
	prosperity	NoC	3	-	235.3	15
	insane	Adj	12	+	235.2	2
	drown	Verb	11	+	235.1	2
	sufferers	NoC	1	-	235.1	10
	1941	Num	1	-	235.1	11
	outbreak	NoC	2	-	234.9	13
	pact	NoC	2	-	234.9	14
	administrators	NoC	1	-	234.9	11
	cultivation	NoC	1	-	234.7	10
	gases	NoC	1	-	234.6	12
	birth	NoC	34	-	234.5	62
	preliminary	Adj	7	-	234.5	23
	continuation	NoC	1	-	234.4	11
	rotation	NoC	1	-	234.3	10
	indications	NoC	1	-	234.3	10
	taller	Adj	14	+	234.3	4
	demonstrators	NoC	1	-	234.2	10
	strikes	NoC	2	-	234.1	14
	windows	NoC	124	+	234.0	84
	entity	NoC	3	-	233.9	15
	earlier	Adv	68	-	233.8	106
	incidents	NoC	5	-	233.5	19
	similarities	NoC	1	-	233.5	12
	curly	Adj	11	+	233.5	2
	civic	Adj	2	-	233.4	13
	IRA	NoP	7	-	233.2	23
	longer	Adv	53	+	233.2	29
	barriers	NoC	5	-	233.0	18
	monitoring	Verb	2	-	233.0	14
	Sophia	NoP	12	+	232.9	2
	comparing	Verb	3	-	232.7	15
	preserved	Verb	6	-	232.6	21
	Czechoslovakia	NoP	3	-	232.6	15
	concerns	Verb	4	-	232.5	16
	bottom	NoC	73	+	232.5	44
	secrets	NoC	28	+	232.4	12
	ripped	Verb	16	+	232.4	4
	constituents	NoC	1	-	232.4	11
	Wilkinson	NoP	1	-	232.4	11
	dream	Verb	19	+	232.3	6
	sure	Adv	11	+	232.3	2
	bond	NoC	6	-	232.2	22
	falling	Verb	69	+	231.9	40
	jammed	Verb	11	+	231.8	2
	salaries	NoC	1	-	231.8	12
	seminars	NoC	1	-	231.7	10
	situated	Verb	8	-	231.6	25
	dreaming	Verb	17	+	231.6	5
	1938	Num	2	-	231.5	12
	ballot	NoC	2	-	231.5	12
	relatives	NoC	13	-	231.5	32
	sufficiently	Adv	13	-	231.4	32
	1930	Num	1	-	231.4	11
	complex	NoC	10	-	231.3	28
	1943	Num	1	-	231.3	10
	supplement	NoC	1	-	231.2	11
	Cheshire	NoP	2	-	231.1	14
	vocabulary	NoC	3	-	231.1	16
	denied	Verb	22	-	231.0	45
	backing	NoC	3	-	231.0	15
	correspond	Verb	1	-	230.9	10
	poison	NoC	19	+	230.7	6
	swift	Adj	20	+	230.7	7
	arose	Verb	6	-	230.7	20
	horribly	Adv	11	+	230.7	2
	trustee	NoC	1	-	230.6	11
	wandering	Verb	17	+	230.5	5
	assigned	Verb	3	-	230.3	15
	organized	Verb	7	-	230.2	23
	exploited	Verb	2	-	230.2	12
	ushered	Verb	11	+	230.1	2
	reinforced	Verb	4	-	230.1	17
	disc	NoC	6	-	230.1	20
	unmistakable	Adj	12	+	230.0	3
	1933	Num	1	-	229.9	10
	runs	NoC	4	-	229.7	17
	patronage	NoC	2	-	229.4	12
	workplace	NoC	1	-	229.3	10
	on top of	Prep	41	+	229.3	20
	assume	Verb	23	-	229.3	47
	liver	NoC	6	-	229.2	21
	luggage	NoC	17	+	229.2	5
	optical	Adj	2	-	229.1	12
	secret	Adj	59	+	229.1	33
	overcome	Verb	13	-	229.1	32
	Maureen	NoP	17	+	229.0	5
	speeds	NoC	1	-	228.8	11
	rewards	NoC	3	-	228.8	15
	catering	Verb	1	-	228.5	10
	insights	NoC	1	-	228.5	10
	nanny	NoC	13	+	228.2	3
	evident	Adj	13	-	228.2	33
	paces	NoC	11	+	228.2	2
	persisted	Verb	20	+	228.2	7
	sandwich	NoC	19	+	228.2	6
	thereafter	Adv	5	-	228.0	19
	analysing	Verb	1	-	227.9	12
	grey	NoC	13	+	227.8	3
	tropical	Adj	7	-	227.6	22
	sphere	NoC	4	-	227.5	16
	verbal	Adj	5	-	227.4	19
	stale	Adj	12	+	227.3	2
	floating	Verb	16	+	227.3	4
	wasting	Verb	16	+	227.3	4
	1917	Num	1	-	227.1	10
	fifty	Num	55	+	227.1	31
	measuring	Verb	4	-	226.9	17
	Norway	NoP	5	-	226.9	19
	Bath	NoP	3	-	226.8	16
	radio	NoC	60	-	226.8	96
	worried	Verb	19	+	226.7	6
	link	Verb	4	-	226.6	16
	Baldwin	NoP	2	-	226.6	13
	twisted	Adj	13	+	226.4	3
	offshore	Adj	1	-	226.3	10
	artistic	Adj	6	-	226.2	20
	domination	NoC	2	-	226.1	12
	bankruptcy	NoC	2	-	226.0	13
	driving	Verb	57	+	226.0	32
	declined	Verb	9	-	226.0	26
	Dundee	NoP	1	-	225.9	11
	landowners	NoC	1	-	225.9	11
	dressing	NoC	20	+	225.9	7
	respective	Adj	3	-	225.8	16
	airlines	NoC	2	-	225.7	12
	made	Verb	1090	+	225.7	965
	smoothly	Adv	22	+	225.5	8
	pride	NoC	47	+	225.4	25
	cushions	NoC	13	+	225.4	3
	ventures	NoC	1	-	225.4	10
	Leicester	NoP	6	-	225.4	20
	Ipswich	NoP	3	-	225.3	14
	suspension	NoC	5	-	225.2	18
	undermine	Verb	1	-	225.0	11
	Doug	NoP	19	+	224.9	6
	feminists	NoC	2	-	224.8	12
	appointment	NoC	26	-	224.8	51
	random	Adj	8	-	224.7	23
	disturb	Verb	16	+	224.7	4
	apparatus	NoC	3	-	224.6	14
	bitter	Adj	43	+	224.5	22
	sole	Adj	10	-	224.3	28
	sitting	NoC	17	+	224.2	5
	nursing	Adj	3	-	224.2	16
	novel	NoC	16	-	223.9	37
	headings	NoC	1	-	223.9	11
	lovers	NoC	25	+	223.8	10
	sleepy	Adj	12	+	223.8	3
	reinforce	Verb	2	-	223.8	12
	individually	Adv	2	-	223.8	14
	foundations	NoC	4	-	223.7	18
	native	Adj	12	-	223.4	31
	crawling	Verb	11	+	223.4	2
	instrument	NoC	14	-	223.4	33
	gall	NoC	2	-	223.4	13
	locomotive	NoC	1	-	223.3	10
	momentary	Adj	10	+	223.0	2
	Hollywood	NoP	6	-	223.0	21
	compact	Adj	4	-	223.0	17
	comment	Verb	6	-	222.9	21
	score	NoC	13	-	222.8	32
	gp	NoC	2	-	222.8	13
	episodes	NoC	1	-	222.8	10
	machinery	NoC	11	-	222.7	30
	inspectors	NoC	2	-	222.6	12
	matron	NoC	12	+	222.5	2
	rusty	Adj	11	+	222.5	2
	centred	Verb	4	-	222.4	16
	commissioner	NoC	5	-	222.3	19
	manual	NoC	3	-	222.2	14
	VI / vi	Num	1	-	222.2	11
	bile	NoC	3	-	222.2	16
	channels	NoC	7	-	222.1	22
	blowing	Verb	21	+	222.0	7
	Geoffrey	NoP	32	+	221.8	14
	confided	Verb	10	+	221.7	2
	knit	Verb	2	-	221.7	13
	gypsy	NoC	11	+	221.7	2
	pointing	Verb	39	+	221.6	19
	departmental	Adj	2	-	221.5	12
	invested	Verb	4	-	221.5	16
	spare	Verb	22	+	221.4	8
	Iranian	Adj	2	-	221.4	12
	underneath	Prep	17	+	221.4	5
	shutters	NoC	11	+	221.1	2
	reject	Verb	5	-	221.1	18
	ventured	Verb	12	+	221.1	3
	printed	Adj	4	-	221.0	17
	omitted	Verb	3	-	220.9	15
	forestry	NoC	2	-	220.8	13
	brisk	Adj	14	+	220.8	4
	weep	Verb	10	+	220.7	2
	Blackpool	NoP	2	-	220.6	12
	nominal	Adj	1	-	220.6	11
	locked	Adj	10	+	220.5	2
	wits	NoC	11	+	220.5	2
	Matt	NoP	16	+	220.5	4
	edged	Verb	15	+	220.5	4
	rags	NoC	11	+	220.4	2
	worn	Verb	34	+	220.4	15
	hideous	Adj	12	+	220.4	3
	ideal	NoC	2	-	220.3	12
	boom	NoC	5	-	220.0	19
	dominate	Verb	2	-	220.0	13
	supporting	Adj	2	-	219.9	13
	call	NoC	85	+	219.9	54
	enhanced	Verb	3	-	219.9	14
	leaping	Verb	11	+	219.8	2
	adaptation	NoC	1	-	219.8	10
	bitterness	NoC	17	+	219.8	5
	old-fashioned	Adj	25	+	219.8	10
	truck	NoC	24	+	219.7	9
	contained	Verb	32	-	219.7	59
	another	DetP	649	+	219.7	555
	surprise	Verb	14	+	219.7	4
	smart	Adj	27	+	219.4	11
	naval	Adj	5	-	219.4	19
	alarm	NoC	36	+	219.3	17
	scientist	NoC	9	-	219.3	26
	designated	Verb	1	-	219.2	11
	sell	Verb	47	-	219.1	78
	fail	Verb	18	-	219.1	39
	thirty	Num	64	+	219.0	37
	Connor	NoP	11	+	218.8	2
	habitat	NoC	2	-	218.7	13
	boards	NoC	14	-	218.7	34
	headache	NoC	18	+	218.5	6
	cook	NoC	17	+	218.4	5
	strained	Verb	13	+	218.4	3
	deterioration	NoC	1	-	218.4	10
	timber	NoC	10	-	218.4	27
	Argentina	NoP	2	-	218.3	13
	indeed	Adv	150	-	218.3	202
	belonged	Verb	31	+	218.3	14
	restore	Verb	6	-	218.2	21
	utility	NoC	2	-	218.2	13
	middle-class	Adj	5	-	218.1	18
	clash	NoC	3	-	218.1	15
	assistant	Adj	7	-	218.0	22
	innocence	NoC	22	+	218.0	8
	file	NoC	36	-	217.9	64
	developer	NoC	1	-	217.8	10
	comedy	NoC	5	-	217.7	18
	undertaking	NoC	2	-	217.6	13
	hurled	Verb	12	+	217.6	3
	67	Num	1	-	217.6	10
	sack	NoC	18	+	217.5	6
	plan	Verb	13	-	217.5	31
	keys	NoC	38	+	217.4	18
	radically	Adv	1	-	217.4	10
	food	NoC	156	-	217.3	209
	negotiate	Verb	4	-	217.1	16
	wide	Adv	19	+	216.8	6
	regardless	Adv	5	-	216.8	19
	dresses	NoC	16	+	216.6	5
	harmful	Adj	1	-	216.4	11
	subordinate	Adj	2	-	216.4	12
	Belgium	NoP	4	-	216.3	17
	knee	NoC	36	+	216.3	17
	owner	NoC	33	-	216.0	60
	hollow	NoC	12	+	215.8	3
	aisle	NoC	12	+	215.7	3
	cafe	NoC	16	+	215.6	5	
	spoken	Adj	1	-	215.6	11
	Ford	NoP	10	-	215.6	27
	principally	Adv	2	-	215.6	12
	repair	NoC	5	-	215.5	19
	tower	NoC	55	+	215.4	31
	drifting	Verb	15	+	215.4	4
	Marjorie	NoP	13	+	215.3	3
	directory	NoC	5	-	215.2	18
	woods	NoC	29	+	215.1	13
	searching	Verb	36	+	215.1	17
	writing	Verb	40	-	215.1	69
	unprecedented	Adj	2	-	214.8	12
	Chris	NoP	23	-	214.8	46
	middle-aged	Adj	18	+	214.8	6
	instinct	NoC	24	+	214.7	9
	discreet	Adj	14	+	214.7	4
	harsh	Adj	30	+	214.6	13
	troubled	Verb	15	+	214.6	4
	probe	NoC	2	-	214.5	12
	interior	Adj	5	-	214.4	18
	warn	Verb	24	+	214.4	9
	Freddie	NoP	14	+	214.4	4
	aged	Verb	5	-	214.2	18
	precedent	NoC	2	-	214.2	11
	costly	Adj	3	-	214.1	15
	graph	NoC	1	-	214.0	11
	lain	Verb	10	+	214.0	2
	healthy	Adj	21	-	214.0	43
	rare	Adj	30	-	214.0	56
	fish	NoC	77	-	213.9	115
	crowded	Adj	20	+	213.8	7
	Denmark	NoP	4	-	213.6	17
	expects	Verb	5	-	213.6	18
	inspired	Verb	6	-	213.5	21
	respects	NoC	5	-	213.3	19
	aspirations	NoC	2	-	213.3	13
	manpower	NoC	2	-	213.2	12
	grace	NoC	29	+	213.2	13
	knocking	Verb	17	+	213.2	6
	goodbye	NoC	13	+	213.1	3
	niece	NoC	13	+	213.0	3
	shift	NoC	12	-	213.0	31
	benefited	Verb	1	-	212.9	10
	specifications	NoC	1	-	212.9	10
	outlets	NoC	1	-	212.8	11
	signals	NoC	8	-	212.8	23
	magazine	NoC	30	-	212.7	55
	reviews	NoC	2	-	212.7	13
	catering	NoC	2	-	212.7	12
	gradual	Adj	3	-	212.6	14
	putting	Verb	92	+	212.5	60
	um	Int	12	+	212.4	3
	formulated	Verb	1	-	212.3	11
	dissolution	NoC	1	-	212.3	11
	flavour	NoC	5	-	212.3	18
	spine	NoC	22	+	212.0	8
	intends	Verb	3	-	212.0	15
	question	NoC	195	-	211.9	252
	binding	Verb	3	-	211.9	14
	sophisticated	Adj	12	-	211.9	30
	trapped	Verb	29	+	211.8	13
	united	Verb	3	-	211.8	15
	sleeping	Adj	20	+	211.7	7
	emerge	Verb	10	-	211.7	26
	prestige	NoC	2	-	211.6	13
	Baker	NoP	9	-	211.5	25
	Heather	NoP	16	+	211.5	5
	glittering	Adj	13	+	211.3	3
	meanings	NoC	5	-	211.3	19
	capabilities	NoC	2	-	211.2	12
	St	NoP-	88	-	211.1	129
	municipal	Adj	2	-	210.9	12
	Hungarian	Adj	2	-	210.9	12
	analyse	Verb	4	-	210.9	17
	matches	NoC	10	-	210.9	27
	burn	Verb	23	+	210.9	9
	pair	NoC	86	+	210.8	55
	powerful	Adj	53	-	210.8	85
	blankets	NoC	14	+	210.8	4
	Fiona	NoP	18	+	210.7	6
	dismissal	NoC	6	-	210.7	19
	translation	NoC	5	-	210.7	19
	Japanese	NoC	3	-	210.5	13
	Vietnamese	Adj	1	-	210.5	10
	willingness	NoC	3	-	210.4	15
	unchanged	Adj	3	-	210.4	14
	junior	Adj	15	-	210.4	34
	Ryan	NoP	20	+	210.2	7
	2nd	Ord	2	-	210.2	12
	myth	NoC	5	-	210.2	19
	detention	NoC	2	-	210.2	11
	Nancy	NoP	16	+	210.1	5
	weapons	NoC	25	-	210.1	48
	likelihood	NoC	3	-	210.1	15
	Holmes	NoP	20	+	209.9	7
	ended	Verb	53	-	209.9	85
	philosophical	Adj	4	-	209.8	17
	academy	NoC	5	-	209.7	18
	together	Adv	368	+	209.6	299
	greet	Verb	15	+	209.5	4
	counterpart	NoC	1	-	209.4	10
	bags	NoC	35	+	209.3	17
	extracts	NoC	1	-	209.3	10
	shareholder	NoC	1	-	209.3	10
	workshops	NoC	5	-	209.1	18
	progressively	Adv	1	-	208.9	10
	exploit	Verb	3	-	208.9	15
	bacon	NoC	17	+	208.7	5
	destruction	NoC	12	-	208.6	29
	aim	Verb	5	-	208.5	17
	Le	NoP-	6	-	208.5	20
	Singapore	NoP	2	-	208.4	12
	respond	Verb	19	-	208.3	40
	quid	NoC	11	+	208.2	2
	prisons	NoC	2	-	208.2	12
	length	NoC	51	-	208.1	82
	gin	NoC	14	+	208.1	4
	stimulation	NoC	1	-	208.1	11
	securing	Verb	2	-	208.0	12
	followed	Verb	202	+	208.0	153
	buttons	NoC	19	+	207.9	6
	frankly	Adv	19	+	207.9	7
	lighting	Verb	10	+	207.8	2
	replaced	Verb	40	-	207.7	68
	accepts	Verb	1	-	207.7	11
	decent	Adj	31	+	207.5	14
	sustained	Verb	4	-	207.5	15
	governor	NoC	11	-	207.5	29
	porch	NoC	14	+	207.4	4
	convert	Verb	3	-	207.2	14
	pen	NoC	32	+	207.2	14
	dry	Adj	79	+	207.2	50
	sadness	NoC	18	+	207.1	6
	competing	Verb	2	-	207.1	11
	discreetly	Adv	10	+	206.7	2
	credibility	NoC	2	-	206.6	13
	gallery	NoC	28	-	206.4	52
	communism	NoC	2	-	206.4	12
	illness	NoC	18	-	206.3	39
	trouble	Verb	10	+	206.2	2
	Prentice	NoP	10	+	206.2	2
	mouths	NoC	15	+	206.1	4
	generations	NoC	10	-	206.1	27
	decide	Verb	43	-	206.0	73
	chance	NoC	168	+	205.9	124
	sodium	NoC	2	-	205.9	11
	auction	NoC	4	-	205.9	16
	pleasantly	Adv	13	+	205.8	3
	knock	Verb	20	+	205.6	7
	tavern	NoC	11	+	205.6	2
	T-shirt	NoC	15	+	205.5	4
	falls	Verb	10	-	205.4	26
	rhetoric	NoC	2	-	205.3	13
	underneath	Adv	16	+	205.3	5
	betray	Verb	10	+	205.1	2
	dangers	NoC	6	-	205.1	20
	denies	Verb	1	-	205.1	10
	referee	NoC	3	-	205.0	14
	memorial	NoC	6	-	205.0	19
	undergrowth	NoC	11	+	204.9	2
	reassured	Verb	13	+	204.8	3
	displays	NoC	3	-	204.8	15
	confirm	Verb	13	-	204.7	31
	usual	Adj	94	+	204.6	62
	start	NoC	60	-	204.6	93
	narrative	NoC	3	-	204.5	14
	mole	NoC	14	+	204.4	4
	signing	NoC	1	-	204.3	11
	trolley	NoC	15	+	204.0	5
	muddy	Adj	15	+	204.0	5
	challenge	Verb	6	-	203.8	20
	termed	Verb	2	-	203.8	13
	carries	Verb	7	-	203.7	22
	Anglia	NoP	1	-	203.7	11
	frantic	Adj	15	+	203.6	4
	expenses	NoC	9	-	203.5	24
	vessels	NoC	6	-	203.5	20
	Angeles	NoP-	3	-	203.4	14
	in short	Adv	4	-	203.4	16
	dread	NoC	11	+	203.3	2
	publicity	NoC	12	-	203.1	30
	Dorset	NoP	1	-	203.0	11
	accurately	Adv	5	-	202.9	18
	histories	NoC	1	-	202.9	10
	libel	NoC	2	-	202.8	11
	allies	NoC	7	-	202.8	21
	retreated	Verb	12	+	202.7	3
	disruption	NoC	2	-	202.7	12
	honorary	Adj	1	-	202.5	10
	strict	Adj	9	-	202.1	25
	desired	Adj	2	-	202.1	11
	18th	Ord	3	-	202.1	13
	shorts	NoC	18	+	202.0	6
	L.	NoP	2	-	201.9	12
	blue	NoC	24	+	201.9	10
	import	NoC	2	-	201.9	12
	Tessa	NoP	10	+	201.8	2
	utterance	NoC	2	-	201.7	11
	researcher	NoC	3	-	201.6	14
	polished	Verb	11	+	201.4	3
	cardboard	Adj	13	+	201.3	3
	canteen	NoC	13	+	201.3	3
	broadly	Adv	6	-	201.3	20
	yourselves	Pron	11	+	201.2	3
	nonetheless	Adv	4	-	201.1	17
	rent	NoC	13	-	201.0	31
	mechanical	Adj	9	-	201.0	25
	damaging	Adj	2	-	201.0	11
	pragmatic	Adj	1	-	200.9	10
	successes	NoC	2	-	200.9	12
	vehicle	NoC	26	-	200.8	49
	imaginative	Adj	3	-	200.8	14
	tipped	Verb	18	+	200.8	6
	submit	Verb	4	-	200.5	15
	pie	NoC	20	+	200.5	8
	appointments	NoC	5	-	200.4	18
	calculations	NoC	3	-	200.3	15
	unhappy	Adj	35	+	200.2	17
	peace	NoC	68	-	200.1	103
	livestock	NoC	2	-	199.9	11
	apart	Adv	56	+	199.9	32
	linen	NoC	21	+	199.9	8
	attributes	NoC	2	-	199.6	12
	Lea	NoP	3	-	199.6	13
	eliminated	Verb	1	-	199.6	10
	contest	NoC	5	-	199.5	18
	respect	NoC	32	-	199.5	57
	Albert	NoP	38	+	199.4	19
	Los	NoP-	4	-	199.4	16
	straining	Verb	11	+	199.1	3
	ecclesiastical	Adj	1	-	199.1	11
	speaking	Verb	75	+	199.0	47
	classic	NoC	2	-	199.0	11
	commissions	NoC	1	-	198.9	10
	Barcelona	NoP	1	-	198.9	10
	then	Adj	3	-	198.5	15
	chatting	Verb	13	+	198.5	4
	pants	NoC	14	+	198.5	4
	root	NoC	8	-	198.4	23
	Frankie	NoP	16	+	198.3	5
	grand prix	Fore	1	-	198.3	10
	predictions	NoC	1	-	198.3	10
	dated	Verb	5	-	198.0	17
	linking	Verb	4	-	198.0	16
	sent	Verb	176	+	198.0	131
	licensing	NoC	21	+	197.9	8
	play	NoC	45	-	197.8	74
	coherent	Adj	3	-	197.8	14
	bear	Verb	68	+	197.5	42
	helpful	Adj	16	-	197.4	36
	deliberately	Adv	47	+	197.4	25
	retaining	Verb	2	-	197.2	11
	bullet	NoC	16	+	197.1	5
	charming	Adj	27	+	197.1	12
	secretly	Adv	17	+	197.1	6
	links	Verb	1	-	197.0	11
	El	NoP-	4	-	196.9	16
	jump	Verb	27	+	196.9	12
	lotus	NoC	2	-	196.9	11
	Scotch	NoC	10	+	196.8	2
	discuss	Verb	37	-	196.8	63
	Amanda	NoP	14	+	196.7	4
	adapt	Verb	3	-	196.7	13
	visitors	NoC	32	-	196.7	57
	in so far as	Conj	2	-	196.6	11
	concluded	Verb	19	-	196.5	39
	professor	NoC	35	-	196.5	60
	doubted	Verb	17	+	196.5	5
	traders	NoC	4	-	196.3	16
	capability	NoC	2	-	196.2	11
	conform	Verb	2	-	196.2	11
	longer	Adj	22	-	196.1	44
	reminding	Verb	14	+	196.0	4
	Cowley	NoP	12	+	195.9	3
	bounced	Verb	14	+	195.9	4
	verdict	NoC	5	-	195.9	18
	imported	Verb	2	-	195.9	11
	vitamin	NoC	2	-	195.8	11
	norm	NoC	2	-	195.8	12
	Somerset	NoP	5	-	195.8	17
	play	Verb	110	-	195.7	152
	tackle	Verb	6	-	195.6	19
	exhausted	Verb	20	+	195.4	8
	Freud	NoP	4	-	195.2	15
	quota	NoC	2	-	194.9	11
	airline	NoC	3	-	194.8	14
	frighten	Verb	11	+	194.5	3
	communicate	Verb	6	-	194.5	19
	give	Verb	465	+	194.5	390
	academics	NoC	2	-	194.3	11
	surplus	Adj	2	-	194.3	11
	lieutenant	NoC	20	+	194.2	7
	looks	Verb	116	+	194.2	80
	Jill	NoP	17	+	194.2	6
	judgements	NoC	2	-	194.1	12
	haste	NoC	11	+	194.0	3
	flora	NoC	18	+	193.5	6
	co-operative	Adj	2	-	193.4	13
	William	NoP	65	-	193.4	98
	lines	NoC	79	-	193.3	115
	sixteenth	Ord	2	-	193.3	12
	audiences	NoC	3	-	193.2	13
	lipstick	NoC	11	+	193.1	2
	onwards	Adv	5	-	193.1	18
	dropping	Verb	24	+	192.9	10
	finish	Verb	38	+	192.8	20
	Peru	NoP	1	-	192.8	10
	appoint	Verb	3	-	192.7	13
	tensions	NoC	3	-	192.7	13
	bass	NoC	2	-	192.6	12
	no doubt	Adv	58	+	192.6	34
	fossil	NoC	2	-	192.5	12
	descended	Verb	18	+	192.5	6
	paintings	NoC	20	-	192.5	41
	stadium	NoC	2	-	192.5	12
	recommend	Verb	7	-	192.5	20
	AD	Adv	2	-	192.4	11
	purely	Adv	13	-	192.4	30
	ports	NoC	3	-	192.4	14
	warmly	Adv	15	+	192.3	4
	setting	Verb	28	-	192.3	52
	grid	NoC	3	-	192.2	15
	warmed	Verb	12	+	192.0	3
	Fisher	NoP	2	-	192.0	11
	offers	NoC	4	-	192.0	16
	river	NoC	131	+	191.9	93
	Gaulle	NoP	3	-	191.9	13
	clad	Verb	11	+	191.9	2
	profitable	Adj	5	-	191.6	17
	notes	Verb	2	-	191.5	12
	calculation	NoC	3	-	191.5	13
	lies	NoC	24	+	191.3	10
	administered	Verb	2	-	191.3	13
	segments	NoC	2	-	191.2	11
	attempting	Verb	13	-	191.1	30
	fall	NoC	27	-	191.1	49
	Crawford	NoP	1	-	190.9	10
	margin	NoC	5	-	190.9	18
	accounts	Verb	1	-	190.8	10
	reserve	Adj	2	-	190.7	11
	virtual	Adj	2	-	190.6	12
	absorption	NoC	3	-	190.6	13
	winning	Adj	3	-	190.3	13
	comparatively	Adv	4	-	190.3	15
	raining	Verb	12	+	190.1	3
	utter	Adj	13	+	190.1	3
	ha	Int	18	+	190.1	6
	Anderson	NoP	6	-	190.1	19
	rises	NoC	2	-	190.1	12
	civilian	Adj	4	-	190.0	15
	stored	Verb	9	-	190.0	24
	crimes	NoC	8	-	190.0	22
	corners	NoC	29	+	190.0	13
	sums	NoC	5	-	189.9	18
	organised	Adj	1	-	189.7	10
	wound	NoC	23	+	189.7	9
	life	NoC	668	+	189.6	579
	dates	Verb	2	-	189.6	10
	plate	NoC	61	+	189.6	37
	factories	NoC	7	-	189.6	20
	albeit	Conj	5	-	189.5	18
	hysterical	Adj	12	+	189.4	3
	Portsmouth	NoP	1	-	189.3	10
	redundant	Adj	4	-	189.2	15
	sculpture	NoC	5	-	189.2	17
	plunged	Verb	18	+	189.0	7
	clinics	NoC	1	-	189.0	10
	patch	NoC	28	+	188.9	12
	level	Adj	12	-	188.9	29
	worth	Prep	73	-	188.5	107
	eventual	Adj	3	-	188.3	13
	declared	Verb	29	-	188.3	52
	sing	Verb	31	+	188.2	15
	buying	Verb	22	-	188.1	43
	stores	NoC	11	-	188.0	27
	contributing	Verb	2	-	187.9	11
	impulse	NoC	17	+	187.9	6
	hearth	NoC	11	+	187.9	3
	offering	Verb	27	-	187.9	50
	viewpoint	NoC	2	-	187.8	11
	intercourse	NoC	2	-	187.7	12
	emphasise	Verb	2	-	187.7	12
	surprising	Adj	21	-	187.6	42
	preventing	Verb	4	-	187.5	16
	praying	Verb	13	+	187.4	4
	prisoners	NoC	18	-	187.4	37
	worship	NoC	4	-	187.4	16
	dance	Verb	26	+	187.1	12
	T.	NoP	4	-	187.0	16
	recreation	NoC	2	-	186.5	11
	scraped	Verb	10	+	186.3	2
	fence	NoC	29	+	186.3	13
	wholly	Adv	12	-	186.3	28
	merits	NoC	2	-	186.2	12
	folds	NoC	12	+	186.1	3
	manipulation	NoC	2	-	185.9	11
	bursting	Verb	14	+	185.9	4
	stake	NoC	9	-	185.8	24
	move	Verb	156	+	185.8	115
	prediction	NoC	1	-	185.8	10
	European	NoC	2	-	185.8	10
	controlling	Verb	7	-	185.7	21
	corruption	NoC	6	-	185.6	18
	sustain	Verb	4	-	185.4	16
	timetable	NoC	3	-	185.3	14
	insight	NoC	6	-	185.3	18
	other than	Prep	27	-	185.1	49
	oppose	Verb	2	-	185.1	10
	burning	Adj	25	+	184.9	11
	immigrants	NoC	2	-	184.8	11
	charm	NoC	25	+	184.7	11
	attending	Verb	8	-	184.7	22
	rectory	NoC	11	+	184.5	2
	displayed	Verb	14	-	184.5	31
	flowed	Verb	14	+	184.4	4
	by no means	Adv	7	-	184.4	21
	oak	NoC	29	+	184.4	14
	so as	ClO	8	-	184.3	22
	Christine	NoP	21	+	184.2	8
	saving	NoC	2	-	184.1	12
	riots	NoC	2	-	184.0	11
	Ms	NoC	8	-	183.9	21
	sour	Adj	15	+	183.9	5
	organising	Verb	3	-	183.7	13
	satin	NoC	12	+	183.5	3
	guess	NoC	13	+	183.3	4
	key	NoC	71	+	183.2	45
	relied	Verb	5	-	183.2	17
	Muslim	Adj	3	-	183.0	12
	squad	NoC	14	-	183.0	31
	meets	Verb	5	-	183.0	17
	costing	Verb	2	-	182.9	11
	paid	Adj	2	-	182.7	11
	bass	Adj	2	-	182.7	11
	welcomed	Verb	12	-	182.7	28
	adjacent	Adj	3	-	182.5	14
	shaky	Adj	12	+	182.5	3
	starts	Verb	21	-	182.4	41
	17th	Ord	2	-	182.4	11
	Wells	NoP	3	-	182.3	12
	fridge	NoC	16	+	182.2	5
	rebels	NoC	4	-	182.2	16
	de	Fore	9	-	182.2	24
	discovery	NoC	16	-	182.1	35
	mysterious	Adj	26	+	182.0	12
	solicitor	NoC	17	-	182.0	36
	restricted	Adj	3	-	181.9	13
	kicking	Verb	17	+	181.7	6
	stunned	Adj	14	+	181.7	4
	unpleasant	Adj	25	+	181.7	11
	invisible	Adj	25	+	181.6	11
	plasma	NoC	3	-	181.6	13
	clearing	NoC	16	+	181.5	5
	devoted	Verb	5	-	181.5	17
	Alex	NoP	31	+	181.5	15
	desperation	NoC	14	+	181.5	4
	beer	NoC	52	+	181.4	30
	dolphins	NoC	2	-	181.3	11
	videos	NoC	3	-	181.1	13
	designers	NoC	3	-	181.1	13
	tours	NoC	3	-	181.1	13
