	Word	PoS	FrIm		LL		FrIn

	July	NoP	14	-	3551.1	158
	home	Adv	369	+	3544.7	138
	industrial	Adj	12	-	3543.7	154
	product	NoC	9	-	3541.2	145
	May	NoP	29	-	3541.0	195
	specific	Adj	10	-	3537.4	148
	feel	Verb	451	+	3529.5	189
	before	Conj	534	+	3513.1	244
	existing	Adj	4	-	3494.6	124
	enough	Adv	451	+	3483.8	191
	approach	NoC	27	-	3483.6	190
	member	NoC	42	-	3482.5	222
	1987	Num	2	-	3475.7	119
	hesitated	Verb	73	+	3474.9	2
	staff	NoC	71	-	3470.2	279
	light	NoC	317	+	3459.1	109
	described	Verb	30	-	3457.7	196
	wait	Verb	192	+	3451.2	43
	evidence	NoC	68	-	3440.8	272
	Rose	NoP	108	+	3436.3	10
	picked	Verb	171	+	3428.4	35
	7	Num	11	-	3425.4	147
	rights	NoC	20	-	3416.5	170
	example	NoC	16	-	3414.3	160
	noticed	Verb	154	+	3412.2	27
	type	NoC	39	-	3408.6	212
	resources	NoC	8	-	3408.1	137
	follows	Verb	8	-	3403.0	137
	thinking	Verb	204	+	3392.9	50
	control	NoC	85	-	3392.8	301
	Mr.	NoC	32	-	3392.3	198
	factors	NoC	3	-	3392.2	117
	love	Verb	202	+	3389.8	49
	Soviet	Adj	12	-	3385.8	147
	both	Adv	185	-	3384.1	466
	1986	Num	1	-	3381.9	111
	remember	Verb	318	+	3376.3	112
	required	Verb	29	-	3367.3	191
	silent	Adj	131	+	3363.9	19
	legs	NoC	178	+	3360.1	38
	Corbett	NoP	74	+	3356.2	2
	darkness	NoC	122	+	3345.8	16
	down	Prep	217	+	3344.4	57
	capital	NoC	22	-	3340.6	172
	different	Adj	239	-	3337.8	544
	investment	NoC	11	-	3325.7	142
	price	NoC	40	-	3320.7	211
	feeling	Verb	165	+	3320.3	33
	likely	Adj	78	-	3315.7	286
	theory	NoC	23	-	3309.6	173
	included	Verb	19	-	3296.1	163
	environmental	Adj	2	-	3295.4	111
	at last	Adv	142	+	3288.8	24
	scheme	NoC	15	-	3283.4	152
	Robyn	NoP	63	+	3281.7	1
	employment	NoC	10	-	3275.7	138
	case	NoC	220	-	3270.2	513
	while	NoC	164	+	3256.7	33
	pale	Adj	122	+	3256.7	16
	Lily	NoP	69	+	3253.9	2
	foreign	Adj	41	-	3252.4	212
	date	NoC	36	-	3251.6	201
	agreement	NoC	24	-	3246.1	174
	policies	NoC	3	-	3245.8	115
	team	NoC	53	-	3242.6	235
	shut	Verb	125	+	3228.5	18
	moved	Verb	308	+	3226.1	109
	activities	NoC	16	-	3223.6	154
	darling	NoC	78	+	3222.3	4
	gently	Adv	134	+	3216.2	21
	commission	NoC	10	-	3206.9	136
	talking	Verb	219	+	3198.4	60
	so	Conj	437	+	3193.3	190
	table	NoC	390	+	3183.1	160
	published	Verb	9	-	3173.2	133
	Carrie	NoP	62	+	3157.4	1
	trying	Verb	336	+	3154.0	128
	in front of	Prep	172	+	3143.8	38
	provides	Verb	4	-	3142.4	114
	according to	Prep	40	-	3140.2	205
	leave	Verb	340	+	3135.2	130
	greater	Adj	30	-	3134.7	183
	often	Adv	187	-	3131.9	455
	sector	NoC	4	-	3131.9	113
	way	NoC	1293	+	3131.8	829
	uncle	NoC	117	+	3119.0	16
	effects	NoC	14	-	3115.0	143
	evening	NoC	293	+	3114.2	103
	11	Num	8	-	3111.1	127
	such	DetP	511	-	3105.9	906
	series	NoC	33	-	3101.1	188
	terms	NoC	43	-	3095.0	210
	primary	Adj	5	-	3092.6	115
	second	Ord	169	-	3089.3	426
	sir	NoC	368	+	3088.1	149
	16	Num	4	-	3087.9	112
	cheeks	NoC	74	+	3079.0	3
	where	Adv	823	+	3078.7	468
	1985	Num	2	-	3077.0	103
	cold	Adj	224	+	3076.6	65
	teachers	NoC	16	-	3072.4	148
	Isabel	NoP	64	+	3070.3	1
	wall	NoC	256	+	3058.9	83
	sales	NoC	11	-	3057.8	134
	8	Num	11	-	3055.7	133
	18	Num	4	-	3052.3	112
	Anna	NoP	102	+	3050.9	11
	stay	Verb	243	+	3044.2	76
