	Word	PoS		FrCo	Ra	DiDe		LogLike	FrTO	Ra	DiCG
	@	@	client	2	4	0.79	-	624.0	110	6	0.74
	@	@	clients	2	3	0.65	-	246.0	48	6	0.82
	coat	NoC	%	121	4	0.76	+	506.8	14	6	0.77
	@	@	coat	108	4	0.75	+	498.9	10	6	0.73
	@	@	coats	13	4	0.79	+	24.7	4	6	0.80
	coffee	NoC	%	154	4	0.91	+	294.3	49	6	0.79
	@	@	coffee	153	4	0.91	+	299.0	48	6	0.80
	cold	Adj	%	205	4	0.92	+	510.9	51	6	0.84
	@	@	cold	197	4	0.92	+	493.5	50	6	0.83
	@	@	colder	7	4	0.48	+	19.5	2	5	0.70
	colleague	NoC	%	3	3	0.55	-	818.6	143	6	0.74
	@	@	colleague	1	2	0.21	-	109.6	23	6	0.83
	@	@	colleagues	1	3	0.62	-	717.3	120	6	0.69
	colour	NoC	%	195	4	0.88	+	228.8	85	6	0.90
	@	@	colour	145	4	0.86	+	175.8	62	6	0.87
	@	@	colours	50	4	0.90	+	53.2	23	6	0.86
	come	Verb	%	3799	4	0.98	+	1237.9	2557	6	0.94
	@	@	came	480	4	0.94	+	0.7	469	6	0.84
	@	@	come	2303	4	0.95	+	1282.7	1349	6	0.95
	@	@	comes	358	4	0.95	+	18.3	308	6	0.97
	@	@	coming	657	4	0.98	+	242.4	430	6	0.95
	comment	NoC	%	25	4	0.73	-	573.3	169	6	0.79
	@	@	comment	10	4	0.65	-	265.9	75	6	0.79
	@	@	comments	15	4	0.71	-	307.8	94	6	0.77
	committee	NoC	%	26	4	0.72	-	1452.4	331	6	0.77
	@	@	committee	25	4	0.71	-	1276.8	297	6	0.77
	@	@	committees	1	2	0.40	-	180.4	34	6	0.75
	community	NoC	%	14	4	0.73	-	1049.8	224	6	0.83
	@	@	communities	1	2	0.36	-	122.2	23	6	0.77
	@	@	community	14	4	0.75	-	929.6	202	6	0.84
	company	NoC	%	84	4	0.83	-	771.8	333	6	0.84
	@	@	companies	13	4	0.76	-	447.2	115	6	0.81
	@	@	company	71	4	0.82	-	381.9	218	6	0.84
	computer	NoC	%	84	4	0.81	-	47.4	129	6	0.63
	@	@	computer	69	4	0.81	-	20.6	95	6	0.70
	@	@	computers	15	4	0.73	-	37.1	34	6	0.43
	concerned	Adj	:	30	4	0.86	-	689.3	204	6	0.87
	conference	NoC	%	10	4	0.28	-	587.7	133	6	0.81
	@	@	conference	9	4	0.30	-	469.5	109	6	0.85
	@	@	conferences	1	1	0.00	-	120.5	23	6	0.49
	consider	Verb	%	24	4	0.88	-	669.0	184	6	0.84
	@	@	consider	15	4	0.76	-	327.8	99	6	0.84
	@	@	considered	5	4	0.87	-	264.9	62	6	0.84
	@	@	considering	2	3	0.58	-	51.0	15	6	0.78
	@	@	considers	0	2	0.42	-	32.1	7	6	0.76
	continue	Verb	%	12	4	0.73	-	664.2	152	6	0.83
	@	@	continue	9	4	0.68	-	458.0	106	6	0.84
	@	@	continued	1	4	1.00	-	81.4	17	6	0.77
	@	@	continues	1	3	0.59	-	68.9	15	6	0.77
	@	@	continuing	1	3	0.42	-	57.0	14	6	0.74
	contract	NoC	%	31	4	0.76	-	271.3	120	6	0.74
	@	@	contract	21	4	0.68	-	238.8	93	6	0.72
	@	@	contracts	10	4	0.87	-	39.0	28	6	0.78
	control	NoC	%	34	4	0.78	-	275.9	128	6	0.87
	@	@	control	32	4	0.78	-	256.9	118	6	0.87
	@	@	controls	3	4	0.48	-	19.0	9	6	0.77
	conversation	NoC	%	131	4	0.68	+	250.6	42	6	0.89
	@	@	conversation	100	4	0.72	+	171.4	34	6	0.86
	@	@	conversations	32	4	0.55	+	83.1	8	6	0.86
	cos*	Conj	:	2705	4	0.95	+	6251.3	734	6	0.78
	cost	NoC	%	35	4	0.88	-	1030.9	279	6	0.81
	@	@	cost	27	4	0.86	-	575.2	175	6	0.85
	@	@	costs	7	4	0.86	-	471.8	104	6	0.73
	cost	Verb	%	133	4	0.96	+	7.1	115	6	0.87
	@	@	cost	100	4	0.94	+	21.2	73	6	0.90
	@	@	costing	10	4	0.83	-	1.3	13	6	0.78
	@	@	costs	22	4	0.89	-	3.0	28	6	0.79
	could	VMod	:	1922	4	0.96	-	2.7	1967	6	0.95
	council	NoC	%	68	4	0.77	-	3128.8	745	6	0.79
	@	@	council	65	4	0.77	-	2746.7	670	6	0.78
	@	@	councils	3	4	0.64	-	395.3	76	6	0.85
	councillor	NoC	%	3	4	0.81	-	1290.5	219	6	0.53
	@	@	councillor	2	4	0.80	-	1040.6	174	6	0.43
	@	@	councillors	1	3	0.59	-	251.0	44	6	0.79
