	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	@	@	cause	29	10	0.84	-	201.1	61	90	0.94
	@	@	caused	29	10	0.79	-	712.1	103	90	0.96
	@	@	causes	11	10	0.81	-	48.9	21	89	0.93
	@	@	causing	18	10	0.78	-	89.0	34	90	0.95
	central	Adj	:	71	10	0.79	-	1148.2	207	90	0.93
	centre	NoC	%	151	10	0.79	-	833.2	297	90	0.93
	@	@	centre	133	10	0.80	-	552.3	242	90	0.93
	@	@	centres	18	10	0.70	-	330.9	56	89	0.90
	century	NoC	%	46	10	0.67	-	2512.6	255	90	0.92
	@	@	centuries	4	8	0.56	-	509.7	39	90	0.92
	@	@	century	42	10	0.68	-	2022.1	215	90	0.92
	certain	Adj	:	169	10	0.83	-	147.9	226	90	0.96
	certainly	Adv	:	299	10	0.79	+	682.1	173	90	0.97
	chance	NoC	%	130	10	0.86	-	73.6	164	90	0.95
	@	@	chance	109	10	0.89	-	42.6	133	90	0.95
	@	@	chances	21	10	0.71	-	39.4	32	90	0.92
	change	NoC	%	179	10	0.83	-	1544.7	408	90	0.93
	@	@	change	110	10	0.87	-	556.3	212	90	0.94
	@	@	changes	69	10	0.75	-	1056.3	196	90	0.92
	change	Verb	%	326	10	0.95	+	115.8	267	90	0.98
	@	@	change	160	10	0.95	+	148.0	114	90	0.97
	@	@	changed	120	10	0.94	+	12.2	108	90	0.97
	@	@	changes	9	10	0.91	+	0.2	8	86	0.94
	@	@	changing	38	10	0.86	+	0.8	36	90	0.96
	chapter	NoC	%	32	10	0.75	-	1878.1	185	90	0.91
	@	@	chapter	30	10	0.74	-	1589.3	163	90	0.91
	@	@	chapters	2	8	0.77	-	302.4	22	84	0.90
	child	NoC	%	497	10	0.82	-	814.5	734	90	0.94
	@	@	child	130	10	0.79	-	725.1	257	90	0.91
	@	@	children	367	10	0.83	-	261.2	477	90	0.95
	choose	Verb	%	89	10	0.90	-	514.1	178	90	0.97
	@	@	choose	50	10	0.91	-	62.5	70	90	0.95
	@	@	chooses	3	10	0.66	-	24.2	7	89	0.92
	@	@	choosing	7	10	0.89	-	84.3	18	90	0.94
	@	@	chose	13	10	0.84	-	115.3	30	90	0.96
	@	@	chosen	16	10	0.83	-	335.4	53	90	0.97
